"Survived","Pclass","Sex","SibSp","Parch","Surname","Title","Embarked","Fare","Age"
0,3,1,1,0,231,10,2,7.25,22
1,1,0,1,0,481,11,0,71.2833,38
1,3,0,0,0,192,9,2,7.925,26
1,1,0,1,0,191,11,2,53.1,35
0,3,1,0,0,484,10,2,8.05,35
0,3,1,0,0,648,10,1,8.4583,21
0,1,1,0,0,48,10,2,51.8625,54
0,3,1,3,1,528,8,2,21.075,2
1,3,0,0,2,517,11,2,11.1333,27
1,2,0,1,0,518,11,0,30.0708,14
1,3,0,1,1,513,9,2,16.7,4
1,1,0,0,0,616,9,2,26.55,58
0,3,1,0,0,418,10,2,8.05,20
0,3,1,1,5,352,10,2,31.275,39
0,3,0,0,0,385,9,2,7.8542,14
1,2,0,0,0,564,11,2,16,55
0,3,1,4,1,65,8,1,29.125,2
1,2,1,0,0,382,10,2,13,30
0,3,0,1,0,168,11,2,18,31
1,3,0,0,0,490,11,0,7.225,45
0,2,1,0,0,834,10,2,26,35
1,2,1,0,0,667,10,2,13,34
1,3,0,0,0,463,9,1,8.0292,15
1,1,1,0,0,612,10,2,35.5,28
0,3,0,3,1,528,9,2,21.075,8
1,3,0,1,5,623,11,2,31.3875,38
0,3,1,0,0,206,10,0,7.225,22
0,1,1,3,2,351,10,2,263,19
1,3,0,0,0,223,9,1,7.8792,18
0,3,1,0,0,798,10,2,7.8958,21
0,1,1,0,0,732,10,0,27.7208,40
1,1,0,1,0,99,11,0,146.5208,18
1,3,0,0,0,715,9,1,7.75,22
0,2,1,0,0,208,10,2,10.5,66
0,1,1,1,0,300,10,0,82.1708,28
0,1,1,1,0,14,10,2,52,42
1,3,1,0,0,386,10,0,7.2292,25
0,3,1,0,0,106,10,2,8.05,21
0,3,0,2,0,168,9,2,18,18
1,3,0,1,0,150,9,0,11.2417,14
0,3,0,1,0,66,11,2,9.475,40
0,2,0,1,0,341,11,2,21,27
0,3,1,0,0,759,10,0,7.8958,33
1,2,0,1,2,639,9,0,41.5792,3
1,3,0,0,0,522,9,1,7.8792,19
0,3,1,0,0,255,10,2,8.05,21
0,3,1,1,0,442,10,1,15.5,26
1,3,0,0,0,64,9,1,7.75,22
0,3,1,2,0,257,10,0,21.6792,26
0,3,0,1,0,782,11,2,17.8,18
0,3,1,4,1,395,8,2,39.6875,7
0,3,1,0,0,71,10,2,7.8,21
1,1,0,1,0,2,11,0,76.7292,49
1,2,0,1,0,631,11,2,26,29
0,1,1,0,1,651,10,0,61.9792,65
1,1,1,0,0,702,10,2,35.5,47
1,2,0,0,0,645,9,2,10.5,21
0,3,1,0,0,148,10,0,7.2292,28.5
1,2,0,1,2,706,9,2,27.75,5
0,3,1,5,2,290,8,2,46.9,11
0,3,1,0,0,157,10,0,7.2292,22
1,1,0,0,0,469,9,2,80,38
0,1,1,1,0,244,10,2,83.475,45
0,3,1,3,2,858,8,2,27.9,4
0,1,1,0,0,862,10,0,27.7208,28.5
1,3,1,1,1,835,8,0,15.2458,7
1,2,0,0,0,832,11,2,10.5,29
0,3,1,0,0,801,10,2,8.1583,19
1,3,0,4,2,352,9,2,7.925,17
0,3,1,2,0,521,10,2,8.6625,26
0,2,1,0,0,119,10,2,10.5,32
0,3,0,5,2,290,9,2,46.9,16
0,2,1,0,0,597,10,2,73.5,21
0,3,1,1,0,516,10,0,14.4542,26
1,3,1,0,0,398,10,2,56.4958,32
0,3,1,0,0,613,10,2,7.65,25
0,3,1,0,0,417,10,2,7.8958,21
0,3,1,0,0,570,10,2,8.05,22
1,2,1,0,2,705,8,2,29,0.83
1,3,0,0,0,95,9,2,12.475,30
0,3,1,0,0,628,10,2,9,22
1,3,1,0,0,242,10,2,9.5,29
1,3,0,0,0,362,9,1,7.7875,18
0,1,1,0,0,380,10,2,47.1,28
1,2,0,0,0,109,9,2,10.5,17
1,3,0,3,0,495,11,2,15.85,33
0,3,1,1,3,73,10,2,34.375,16
0,3,1,0,0,523,10,2,8.05,22
1,1,0,3,2,351,9,2,263,23
0,3,1,0,0,446,10,2,8.05,24
0,3,1,0,0,85,10,2,8.05,29
0,3,1,0,0,767,10,2,7.8542,20
0,1,1,1,0,278,10,2,61.175,46
0,3,1,1,2,102,10,2,20.575,26
0,3,1,0,0,566,10,2,7.25,59
0,3,1,0,0,479,10,2,8.05,22
0,1,1,0,0,79,10,0,34.6542,71
1,1,1,0,1,689,10,0,63.3583,23
1,2,0,0,1,52,11,2,23,34
0,2,1,1,0,545,10,2,26,34
0,3,0,0,0,480,9,2,7.8958,28
0,3,1,0,0,654,10,2,7.8958,22
0,1,1,0,1,498,10,2,77.2875,21
0,3,1,0,0,349,10,2,8.6542,33
0,3,1,2,0,711,10,2,7.925,37
0,3,1,0,0,45,10,2,7.8958,28
1,3,0,0,0,658,9,2,7.65,21
1,3,1,0,0,796,10,2,7.775,21
0,3,1,0,0,512,10,2,7.8958,38
1,3,0,1,0,648,9,1,24.15,22
0,1,1,0,0,662,10,2,52,47
0,3,0,1,0,93,9,0,14.4542,14.5
0,3,1,0,0,734,10,2,8.05,22
0,3,0,1,0,127,9,2,9.825,20
0,3,0,0,0,306,9,0,14.4583,17
0,3,1,0,0,204,10,2,7.925,21
0,3,1,0,0,185,10,1,7.75,70.5
0,2,1,1,0,341,10,2,21,29
0,1,1,0,1,742,10,0,247.5208,24
0,3,0,4,2,352,9,2,31.275,2
0,2,1,2,0,273,10,2,73.5,21
0,3,1,0,0,473,10,2,8.05,22
0,2,1,1,0,518,10,0,30.0708,32.5
1,2,0,0,0,831,9,2,13,32.5
0,1,1,0,1,498,10,2,77.2875,54
1,3,1,1,0,150,8,0,11.2417,12
0,3,1,0,0,474,10,1,7.75,21
1,3,1,0,0,476,10,2,7.1417,24
1,3,0,1,1,124,9,0,22.3583,9
0,3,1,0,0,722,10,2,6.975,45
0,3,1,0,0,809,10,0,7.8958,33
0,3,1,0,0,682,10,2,7.05,20
0,3,0,1,0,596,11,2,14.5,47
1,2,0,1,0,221,11,2,26,29
0,2,1,0,0,111,10,2,13,25
0,2,1,0,0,369,10,0,15.0458,23
1,1,0,0,2,68,9,2,26.2833,19
0,1,1,1,0,191,10,2,53.1,37
0,3,1,0,0,309,10,2,9.2167,16
0,1,1,0,0,559,10,0,79.2,24
0,3,0,0,2,302,11,0,15.2458,29
1,3,0,0,0,141,9,2,7.75,22
1,3,0,1,0,318,11,2,15.85,24
0,3,1,0,0,712,10,1,6.75,19
0,2,1,0,0,841,10,2,11.5,18
0,2,1,1,1,397,10,2,36.75,19
1,3,1,0,0,352,10,2,7.7958,27
0,3,0,2,2,73,9,2,34.375,9
0,2,1,0,2,865,10,2,26,36.5
0,2,1,0,0,676,0,2,13,42
0,2,1,0,0,392,0,2,12.525,51
1,1,0,1,0,546,11,2,66.6,22
0,3,1,0,0,718,10,2,8.05,55.5
0,3,1,0,2,784,10,2,14.5,40.5
